epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1974.63,1.48722,1.82067,1.64876,0.52033,0.35434,0.34195,0.20343,1.7993,2.22035,2.02575,0.000665057,0.000665057,0.000665057
56,2014.4,1.50267,1.8307,1.64082,0.50372,0.3516,0.34048,0.19683,1.79133,2.24006,2.00159,0.000650909,0.000650909,0.000650909
57,2051.95,1.47607,1.80325,1.63147,0.52609,0.32525,0.33216,0.20129,1.79917,2.21959,2.0323,0.000636762,0.000636762,0.000636762
58,2088.26,1.46008,1.76652,1.62267,0.48698,0.35074,0.35012,0.20495,1.79675,2.18271,2.03501,0.000622615,0.000622615,0.000622615
59,2124.14,1.43878,1.79536,1.61608,0.51108,0.34108,0.33851,0.20526,1.81749,2.19298,2.03803,0.000608468,0.000608468,0.000608468
60,2159.85,1.40693,1.75767,1.57995,0.54811,0.3224,0.3398,0.19259,1.85555,2.20234,2.06929,0.000594321,0.000594321,0.000594321
61,2203.78,1.43593,1.72014,1.60621,0.47394,0.35111,0.33002,0.1935,1.84812,2.20076,2.07695,0.000580174,0.000580174,0.000580174
62,2230.01,1.42487,1.72466,1.59947,0.51454,0.35636,0.34334,0.19617,1.82661,2.17009,2.02355,0.000566027,0.000566027,0.000566027
63,2264.77,1.42012,1.68444,1.58595,0.49498,0.33794,0.33788,0.20319,1.82713,2.21604,2.04034,0.00055188,0.00055188,0.00055188
64,2299.61,1.41258,1.69536,1.58691,0.49001,0.34146,0.34175,0.19751,1.82752,2.23274,2.01136,0.000537733,0.000537733,0.000537733
65,2333.9,1.40624,1.67557,1.59558,0.5149,0.33633,0.34913,0.20078,1.83267,2.20885,2.04587,0.000523586,0.000523586,0.000523586
66,2367.74,1.40846,1.67106,1.58191,0.53106,0.36991,0.3466,0.20025,1.83338,2.21406,2.04435,0.000509438,0.000509438,0.000509438
67,2401.72,1.39372,1.64585,1.56909,0.55176,0.33537,0.32848,0.18672,1.83205,2.16186,2.04252,0.000495291,0.000495291,0.000495291
68,2435.54,1.38778,1.64894,1.55872,0.5394,0.32497,0.33952,0.19659,1.81743,2.20417,2.0197,0.000481144,0.000481144,0.000481144
69,2469.3,1.37209,1.63407,1.55658,0.53145,0.33866,0.34887,0.19965,1.86633,2.1674,2.07167,0.000466997,0.000466997,0.000466997
70,2503.1,1.38424,1.61649,1.55991,0.53586,0.3429,0.34641,0.20467,1.81628,2.17286,2.04325,0.00045285,0.00045285,0.00045285
71,2536.66,1.3552,1.64279,1.55034,0.52394,0.34275,0.3201,0.18422,1.8288,2.20482,2.05334,0.000438703,0.000438703,0.000438703
72,2570.6,1.36,1.60692,1.54077,0.5254,0.3564,0.34995,0.20089,1.83295,2.17976,2.05361,0.000424556,0.000424556,0.000424556
73,2604.94,1.36671,1.59673,1.56054,0.49309,0.35234,0.34675,0.20077,1.80506,2.15454,2.02976,0.000410409,0.000410409,0.000410409
74,2639.38,1.34493,1.57191,1.52904,0.48268,0.35744,0.34398,0.2016,1.80476,2.16231,2.02861,0.000396262,0.000396262,0.000396262
75,2675.11,1.32709,1.52321,1.50509,0.50745,0.35896,0.33807,0.19462,1.8422,2.19875,2.05163,0.000382115,0.000382115,0.000382115
76,2712.04,1.32062,1.53174,1.53216,0.5315,0.32902,0.34698,0.19827,1.8463,2.20508,2.06897,0.000367967,0.000367967,0.000367967
77,2750.13,1.30786,1.52173,1.50978,0.49681,0.35206,0.35286,0.20275,1.85423,2.16326,2.08792,0.00035382,0.00035382,0.00035382
78,2787.48,1.29353,1.48204,1.49726,0.5702,0.32195,0.35518,0.19986,1.83508,2.16598,2.05229,0.000339673,0.000339673,0.000339673
79,2824.1,1.31424,1.52561,1.49971,0.54544,0.33514,0.34585,0.20368,1.84132,2.16837,2.03918,0.000325526,0.000325526,0.000325526
80,2860.06,1.29187,1.49603,1.49943,0.50305,0.36334,0.35161,0.20502,1.82962,2.20319,2.03623,0.000311379,0.000311379,0.000311379
81,2895.76,1.31682,1.46236,1.49708,0.53524,0.32744,0.34198,0.19882,1.85544,2.21458,2.05477,0.000297232,0.000297232,0.000297232
82,2931.2,1.29154,1.44264,1.48778,0.52126,0.35395,0.34978,0.20415,1.82868,2.19915,2.04164,0.000283085,0.000283085,0.000283085
83,2966.04,1.28748,1.48049,1.49509,0.51345,0.34943,0.3376,0.19278,1.85639,2.25261,2.04895,0.000268938,0.000268938,0.000268938
84,3000.96,1.28665,1.47682,1.49223,0.47151,0.36884,0.35332,0.2039,1.83544,2.17358,2.04427,0.000254791,0.000254791,0.000254791
85,3036.28,1.28085,1.43805,1.4827,0.50868,0.33261,0.34277,0.19595,1.82929,2.20076,2.04089,0.000240644,0.000240644,0.000240644
86,3071.85,1.27798,1.40789,1.46778,0.46888,0.36895,0.3498,0.19933,1.83699,2.20201,2.03414,0.000226497,0.000226497,0.000226497
87,3107.25,1.26795,1.41714,1.47513,0.43977,0.36952,0.33359,0.19076,1.83721,2.21092,2.04757,0.000212349,0.000212349,0.000212349
88,3142.53,1.248,1.36706,1.45342,0.47962,0.34704,0.34488,0.19557,1.86517,2.21772,2.05407,0.000198202,0.000198202,0.000198202
89,3177.16,1.23577,1.34553,1.44981,0.43815,0.36096,0.34099,0.19395,1.84547,2.18886,2.06295,0.000184055,0.000184055,0.000184055
90,3211.81,1.26074,1.39458,1.4582,0.48334,0.36098,0.32923,0.18377,1.86359,2.2564,2.066,0.000169908,0.000169908,0.000169908
91,3246.84,1.24572,1.35611,1.47973,0.49264,0.3384,0.32704,0.18566,1.82109,2.22518,2.0351,0.000155761,0.000155761,0.000155761
92,3281.2,1.19424,1.24963,1.44637,0.47066,0.3656,0.33548,0.18997,1.81901,2.22551,2.03497,0.000141614,0.000141614,0.000141614
93,3314.2,1.20123,1.22899,1.4402,0.47584,0.35081,0.3321,0.19244,1.81893,2.23363,2.04867,0.000127467,0.000127467,0.000127467
94,3347.42,1.17465,1.22444,1.43439,0.46323,0.36007,0.33175,0.19155,1.84726,2.22843,2.06415,0.00011332,0.00011332,0.00011332
95,3380.9,1.18694,1.1904,1.44705,0.46761,0.34177,0.32014,0.18431,1.85537,2.25302,2.0655,9.91726e-05,9.91726e-05,9.91726e-05
96,3414.36,1.16391,1.15928,1.42814,0.52155,0.34092,0.34289,0.19705,1.84528,2.2239,2.0637,8.50255e-05,8.50255e-05,8.50255e-05
97,3447.75,1.17212,1.18165,1.43722,0.44817,0.36688,0.32959,0.19006,1.84667,2.25258,2.05445,7.08784e-05,7.08784e-05,7.08784e-05
98,3482.32,1.14104,1.15381,1.41517,0.5201,0.32409,0.32277,0.18124,1.86253,2.27382,2.06265,5.67313e-05,5.67313e-05,5.67313e-05
99,3516.95,1.14431,1.14636,1.41802,0.48214,0.35478,0.3346,0.19052,1.85107,2.27046,2.0586,4.25842e-05,4.25842e-05,4.25842e-05
100,3553.16,1.14242,1.13669,1.41177,0.44996,0.36285,0.33021,0.18608,1.84275,2.27791,2.05966,2.84371e-05,2.84371e-05,2.84371e-05
